STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
9|6400.0||382-4657|||-625.0|||||9900.0|1678.0||||||67.5|1.0|0
9|10700.0||371-7191|9.0|9.0|||123.0|||103.0|-415.5|-6360.0|103.0|11.45||||25.0|0
|||358-1921|0.0||0.0||-2850.0|||||-4065.0||366.0||250.0|3.29||0
|84.0|408.0|375-9999|||0.0||71.0|2545.0|6190.0|||9845.0|||165.0|||-50.0|0
|1875.0||330-6626|9.0||||||-3707.5000000000005|12200.0||186.9|||||136.5|3.0|0
9||510.0|391-8027|||||||||18.75||||157.5||1.7||0
MA|12100.0||355-9993|9.0||-600.0|21820.0||3709.0000000000005|34850.0||||-2950.0||375.0|700.0|||0
|||329-9001|9.0|||7850.0|3950.0|||9400.0|876.0|21180.0|-2400.0|-238.24999999999997|-177.5|||0.0|0
||9.0|335-4719||0.0|0.0||4850.0||||||||217.49999999999997||58.75||0
9|||330-8173|1.0|||258.6||||||326.4||-367.25|280.0|125.0|302.0||0
|||329-6603||||3227.5|6850.0|||2075.0|-485.50000000000006||11100.0|940.0|635.0|600.0|||1
9||415.0|344-9403|9.0||0.0|||31.91||-3700.0|694.5|4900.0|||9.1|||0.0|0
9||9.0|363-1107|0.0|9.0|0.0|128.8|2400.0|2190.0|104.9|71.0||7055.0|128.0||-280.0|200.0|3.02||0
9||9.0|394-8006|||-0.0|-3915.0||||75.0||||8.65||500.0|||0
|-1550.0|9.0|366-9238|0.0|0.0|-0.0|-3017.5||20.52|15360.0|||203.0||||-150.0|||0
||9.0|351-7269||||||1414.75|7945.0|97.0|1350.5||6400.0|||450.0|1.46|4.0|1
ID|||350-8884|||27.0|4910.0||3339.0|280.9||||75.0|4.02||-100.0|||0
9|4650.0|510.0|386-2923|9.0|0.0|0.0||114.0|32.42||2775.0|1855.0|||5.83|||||0
|||356-2992||1.0|33.0||||||18.09|-4142.5||186.5|-250.0|125.0|||0
|3650.0||373-2782||||224.4|90.0|||4400.0|13.56|192.8|74.0||13.0|200.0|||0
