STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
9|128.0|415.0|382-4657|0.0|1.0|25.0|265.1|110.0|45.07|197.4|99.0|16.78|244.7|91.0|11.01|10.0|3.0||1.0|0
OH|107.0|415.0|371-7191|0.0|9.0|26.0|6464.0|||195.5|103.0|16.62|254.4|103.0|11.45|13.7|3.0|3.7|1.0|0
NJ|137.0|415.0|358-1921|0.0|0.0||243.4|114.0|41.38|121.2|110.0|10.3|162.6||7.32|12.2|5.0|3.29|0.0|0
OH|84.0||375-9999|1.0|0.0|0.0|299.4|71.0|50.9|61.9|88.0|5.26|196.9|89.0|8.86|6.6|7.0||2.0|0
OK|75.0|415.0|330-6626|1.0|0.0|0.0||113.0|28.34|148.3|122.0|12.61|186.9|121.0|8.41|10.1||2.73|3.0|0
AL|118.0|510.0|391-8027|1.0|0.0|0.0||98.0|37.98|220.6|101.0||203.9|118.0||6.3|6.0|1.7|0.0|0
MA|121.0|510.0|355-9993|0.0|9.0|24.0|218.2|88.0|37.09|13940.0|||212.6|118.0|9.57|7.5|7.0|2.03|3.0|0
9|147.0|415.0|329-9001|9.0|0.0|0.0|157.0|79.0|26.69|103.1|94.0|8.76|211.8|96.0|9.53||6.0||0.0|0
LA|117.0|408.0|335-4719|0.0|0.0|0.0|184.5|97.0|||3200.0|29.89|215.8|1800.0|9.71|696.0|4.0|2.35|1.0|0
|141.0|415.0|330-8173|1.0|1.0|37.0|258.6|3360.0|43.96|8880.0|111.0||326.4|97.0|14.69|11.2|5.0|3.02|0.0|0
IN|65.0||329-6603|0.0|0.0|0.0|129.1|137.0|21.95|228.5|83.0|19.42|208.8|-2220.0|9.4|12.7|6.0|3.43|4.0|1
RI|74.0|415.0|344-9403|0.0|0.0|0.0|15016.0||31.91||148.0|13.89|196.0||8.82|9.1|5.0|2.46|0.0|0
IA|168.0|408.0|363-1107|0.0||0.0|128.8||21.9|104.9|71.0|8.92|141.1||6.35|11.2|40.0|3.02|1.0|0
MT|95.0|510.0|394-8006|0.0|||156.6|88.0|26.62|247.6|75.0|21.05|192.3|115.0||12.3|5.0|3.32|3.0|0
IA|62.0|415.0|366-9238|0.0|0.0|0.0|9656.0|-1400.0|20.52|307.2|76.0|26.11|203.0|1980.0|9.14|13.1|6.0|283.2|4.0|0
NY|161.0|415.0|351-7269|0.0|0.0|0.0|332.9|67.0||-6356.0|97.0|27.01|160.6||7.23||9.0|1.46|4.0|1
|85.0||350-8884|0.0|9.0|27.0|196.4|139.0||280.9|90.0|955.1999999999999|||4.02||4.0|74.6|1.0|0
VT|93.0|510.0|386-2923|0.0|0.0|0.0|190.7|114.0|32.42|218.2|111.0|18.55|129.6|121.0|5.83|8.1|||3.0|0
VA|76.0|510.0|356-2992|0.0|1.0|33.0|189.7|66.0|32.25||65.0|18.09|165.7|108.0|7.46|10.0|5.0|2.7|1.0|0
