STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
9|||382-4657|9.0|||265.1||1802.8|197.4|99.0|16.78|244.7|91.0||10.0||2.7||0
OH|||371-7191|0.0|1.0|26.0||123.0|27.47|||16.62|||11.45|13.7||3.7|1.0|0
||415.0|358-1921|0.0||||||9696.0||10.3|6504.0|104.0|7.32|12.2||3.29||0
OH|84.0|408.0|375-9999||||11976.0||-1018.0||3520.0|-105.19999999999999|||8.86||560.0||2.0|0
|75.0|415.0|330-6626||0.0|0.0|||28.34|148.3|-2440.0|504.4|7476.0|||10.1|3.0|218.4||0
AL|-2360.0||391-8027||9.0||223.4||37.98||101.0|18.75|203.9|118.0|9.18||6.0|1.7|0.0|0
|2420.0|510.0|355-9993|||||88.0||348.5|108.0|29.62|212.6|-2360.0|||7.0|81.19999999999999||0
||415.0|329-9001||9.0|0.0|157.0|79.0|1067.6000000000001|103.1|94.0||8472.0||762.4|142.0|480.0||0.0|0
|117.0||335-4719||0.0|0.0|||627.4|351.6||||||8.7|4.0||-20.0|0
9||9.0|330-8173|1.0||37.0|258.6|84.0||222.0|111.0|18.87||97.0||896.0|-100.0|3.02||0
9|65.0|415.0|329-6603|0.0|0.0|0.0|129.1|137.0|21.95||1660.0|||111.0|9.4|508.0|6.0|||1
9|5920.0||344-9403|0.0|0.0|0.0|187.7|||||13.89||94.0||9.1|5.0|2.46|0.0|0
IA|168.0|9.0|363-1107|||0.0||||104.9|5680.0|8.92|5644.0|128.0|-127.0|-224.0|2.0|||0
|7600.0||394-8006|0.0||0.0||||||21.05||115.0|8.65|12.3|100.0|3.32||0
|62.0||366-9238|0.0|0.0|0.0|120.7|70.0|||||||9.14|||3.54||0
|6440.0||351-7269|0.0|0.0|||67.0|56.59|6356.0|||||-144.60000000000002|5.4||||1
||9.0|350-8884||1.0||15712.0||33.39||||89.3|75.0||552.0|4.0|149.2||0
VT||510.0|386-2923||0.0|0.0|190.7|9120.0|||111.0||129.6|||648.0|60.0||3.0|0
VA|1520.0|9.0|356-2992||1.0||15176.0|66.0|645.0|212.8|2600.0|18.09||108.0|7.46|200.0|5.0|2.7||0
TX|73.0|9.0|373-2782|0.0||0.0|224.4|90.0||-3190.0|1760.0|13.56||74.0||1040.0|2.0||1.0|0
||9.0|396-5800|0.0|0.0|0.0|155.1|||||||-2660.0|376.0|212.0|160.0|2.86|0.0|0
|||393-7984|0.0|0.0|0.0|62.4||10.61|169.9|121.0|14.44||64.0|9.43|114.0||1.54||1
AZ|2600.0||358-1958||0.0||183.0||31.11|72.9||248.0|181.8|78.0|8.18||1520.0|||0
||9.0|350-2565|9.0||||103.0|18.77||102.0|11.67|189.6||||6.0|2.08|80.0|0
9|132.0|9.0|343-4696|0.0|0.0|0.0|81.1|-1720.0||245.2|1440.0|20.84|237.0||10.67|824.0||2.78|0.0|0
9|174.0|415.0|331-3698||0.0|0.0|124.3|-1520.0||11084.0|8960.0|23.55|5014.0||||5.0|335.20000000000005||0
|57.0||357-3817||9.0||213.0|115.0|36.21|191.1||16.24|||8.22|||2.57||0
|||418-6412||0.0||134.3|73.0|22.83|155.5|8000.0||||4.59|14.7||-79.4||0
|||353-2630|||0.0|7600.0|||||21.95||-2040.0||504.0||1.7||0
9|49.0|510.0|410-7789||0.0|0.0|2386.0|117.0|20.28||109.0||178.7||||1.0|||0
IL||415.0|416-8428||9.0||||14.42|136.7|63.0|11.62||11840.0||284.0|6.0|76.6|80.0|0
|6000.0|9.0|370-3359|9.0|0.0||||38.44|201.5||17.13|-4924.0|98.0|11.08|||2.78||0
9||408.0|383-1121|||0.0|212.0|4840.0|36.04|||2.65|293.3||528.0|1008.0|10.0|3.4||0
AZ|480.0|408.0|360-1596|0.0|0.0|0.0|4992.0|-2360.0||-5048.0|119.0|1716.0|280.2||12.61|-236.0||3.19|1.0|1
OK|2280.0|408.0|395-2854|9.0|||176.8|-1880.0||7800.0|75.0|||4640.0|||80.0|179.20000000000002||0
|||362-1407|||37.0|4400.0|80.0||217.3|102.0|18.47|||6.88|14.7||317.6|3.0|0
9|720.0||341-9764|0.0|9.0|30.0|||24.87|162.5|||129.3||232.8|1160.0|6.0||0.0|0
|1560.0||353-3305|9.0|||||||116.0|19.01|9112.0|108.0||10.0|5.0|216.0||0
AK||9.0|402-1381|9.0|||||34.66||99.0||||||-120.0|113.6|3.0|0
9|11920.0|9.0|332-9891||0.0|0.0||94.0|1909.6000000000001|||23.1|188.3|||11.1|9.0|120.0|1.0|0
|98.0||372-9976|0.0|9.0|||102.0|-429.4||85.0||||8.45|188.0||2.54|3.0|0
MD||9.0|383-6029||9.0||173.1|85.0||203.9||693.1999999999999|122.2|3120.0||14.6|15.0|3.94|0.0|1
AR|1360.0||353-7289|0.0||-0.0|124.8|6560.0|21.22||||311.5|78.0|14.02||4.0|54.0|2.0|0
||9.0|390-7274||||||14.59|165.3||||-1840.0|321.2|9.2|4.0|49.6|3.0|0
||510.0|352-1237|0.0|0.0|0.0|||26.18|225.8|2360.0||||-238.79999999999998|3.5|3.0|19.0|1.0|0
||408.0|353-3061|0.0||-560.0|||20.55|213.0||18.11|163.1|116.0|146.8|8.5|-100.0|2.3|2.0|0
9|5200.0|415.0|363-5450|0.0|0.0|0.0|211.3||35.92||122.0||134.7|118.0|121.19999999999999||5.0|71.2||0
9|5680.0||364-1995|9.0|0.0|0.0|187.0|||134.6|||242.2|5080.0|10.9|||2.0|2.0|0
9|||398-1294||0.0||159.1|114.0|27.05||9360.0|19.66|143.2|91.0||704.0||2.38||1
WY|97.0|415.0|405-7146||1.0|24.0|5328.0|||||369.20000000000005|1412.0||||3.0|2.97||0
IA|2080.0||413-4957||0.0|||108.0|32.62|10792.0|96.0||236.8|87.0||||2.11|240.0|0
|4800.0|408.0|420-5645||0.0||220.6|4560.0||8444.0|-2300.0|||||544.0|3.0|-36.800000000000004|1.0|0
VA|||349-4396|0.0||0.0|186.1|112.0|||66.0|16.17|||12.73|11.4|-120.0|-61.6||0
|96.0|9.0|404-3211|0.0|0.0|0.0|160.2|117.0|27.23||2680.0|454.79999999999995|228.5|||9.3|-100.0|200.79999999999998||0
