STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
|10240.0||382-4657||1.0|25.0||110.0||197.4||16.78|244.7|91.0|11.01||240.0|54.0||0
OH|107.0|415.0|371-7191||1.0|26.0||123.0|-549.4|7820.0|103.0|16.62||-2060.0||548.0|3.0|3.7|20.0|0
9|137.0|415.0|358-1921|0.0||0.0|243.4|114.0|41.38|9696.0|110.0|10.3||104.0|292.8||100.0|||0
9||408.0|375-9999|||0.0|299.4|-1420.0|50.9|-1238.0||||89.0||||||0
9|||330-6626|1.0|0.0||166.7||28.34||4880.0||||8.41|202.0|||60.0|0
|118.0|9.0|391-8027|9.0|9.0|0.0|-4468.0|||17648.0||18.75||-2360.0||504.0|6.0||0.0|0
|121.0||355-9993|9.0|1.0|960.0||-1760.0|37.09||108.0|29.62|17008.0|9440.0|-191.4|7.5||81.19999999999999|3.0|0
||9.0|329-9001||0.0|||79.0|||94.0|8.76|-4236.0|7680.0|9.53||6.0|1.92|0.0|0
|2340.0|408.0|335-4719|9.0||0.0|7380.0|-1940.0|31.37|||1195.6|||9.71|||2.35||0
|141.0|415.0|330-8173|1.0|9.0||20688.0|||222.0||-377.40000000000003|6528.0|1940.0||-224.0|5.0|3.02|0.0|0
|2600.0|415.0|329-6603|0.0|0.0||129.1||21.95|-4570.0|||208.8||9.4|12.7|480.0|3.43|160.0|1
|74.0||344-9403||9.0||||||148.0||196.0|94.0||9.1||196.8||0
IA|168.0||363-1107|0.0||||96.0|21.9|104.9|71.0|8.92|141.1|128.0||896.0||120.8|80.0|0
