STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|128.0||382-4657||9.0|25.0|13255.000000000002|11000.0|||99.0||244.7|91.0|11.01|10.0|300.0|2.7|1.0|0
||415.0|371-7191|9.0|1.0|2600.0|161.6|123.0|2747.0|195.5|10300.0||254.4|103.0|||3.0|3.7||0
||9.0|358-1921|0.0|0.0|0.0|24340.0||41.38|121.2||10.3|162.6|104.0|7.32|12.2||3.29|0.0|0
|||375-9999||0.0|0.0|299.4|71.0|50.9||88.0|5.26|196.9|89.0|8.86|6.6|7.0|1.78|2.0|0
OK|75.0|415.0|330-6626|1.0|0.0|0.0|166.7|2825.0|28.34|148.3|12200.0||186.9|6050.0|210.25|10.1|-75.0|2.73|3.0|0
AL|118.0|510.0|391-8027||0.0|0.0|223.4|98.0||||18.75|203.9|118.0|9.18|||85.0||0
MA|121.0|510.0|355-9993|0.0|9.0|||88.0|37.09|348.5|108.0|29.62|212.6|118.0|-239.25||7.0||-75.0|0
MO|||329-9001|1.0|9.0|0.0||79.0||||8.76||9600.0|9.53|7.1|6.0|96.0|0.0|0
LA|117.0||335-4719|0.0|0.0|0.0|184.5|97.0||8790.0|80.0|29.89|10790.0|90.0|485.50000000000006|8.7|4.0|2.35|1.0|0
9|141.0||330-8173|1.0||37.0|258.6|84.0|43.96||111.0|18.87|326.4|2425.0|367.25||5.0|3.02|-0.0|0
||415.0|329-6603|0.0|0.0|0.0|129.1|137.0|21.95|228.5||19.42||111.0|9.4|12.7|6.0|3.43|400.0|1
RI||415.0|344-9403||0.0||187.7|-3175.0|31.91||148.0|13.89|-4900.0|94.0|||5.0||0.0|0
|168.0|408.0|363-1107|||0.0|128.8|96.0||104.9|||141.1||6.35|560.0|2.0|||0
MT|95.0|510.0|394-8006|0.0|||156.6|88.0|26.62|6190.0|75.0|1052.5|192.3|115.0|8.65|-307.5|5.0|3.32|-75.0|0
|62.0|9.0|366-9238|0.0|0.0||120.7|70.0|513.0|15360.0|76.0|-652.75|20300.0|99.0||13.1||||0
NY|161.0|415.0|351-7269|0.0|9.0|||67.0|56.59|317.8|97.0|27.01|160.6|128.0|-180.75|5.4|9.0|1.46|4.0|1
ID|85.0|408.0|350-8884|9.0|1.0|27.0|196.4||33.39|14044.999999999998||1194.0|89.3|75.0|4.02|13.8||3.73|1.0|0
VT|93.0|510.0|386-2923|0.0|0.0|0.0|4767.5|114.0|32.42|218.2|111.0|1855.0||12100.0|5.83|8.1||2.19|3.0|0
|76.0||356-2992|0.0|1.0|33.0|||32.25||65.0|18.09|165.7||746.0|10.0|250.0|67.5|1.0|0
9|73.0|415.0|373-2782|0.0|0.0|0.0|224.4|90.0|||88.0|13.56|192.8|74.0|8.68|||3.51|25.0|0
||415.0|396-5800||0.0|0.0|155.1|117.0|26.37|239.7|93.0|20.37|208.8|133.0|||4.0|2.86|0.0|0
|77.0|408.0|393-7984||0.0|0.0|62.4|||-4247.5|121.0|14.44||||5.7|6.0|1.54|5.0|1
AZ|130.0|415.0|358-1958|0.0|0.0|0.0|||31.11||99.0|6.2|181.8|78.0|-204.5|-237.5|19.0|2.57|0.0|0
9|111.0|9.0|350-2565|9.0|0.0|0.0|110.4|103.0|18.77|||11.67|189.6|105.0|8.53|385.0|6.0|2.08|2.0|0
|132.0||343-4696|0.0|0.0|-0.0|81.1|86.0|13.79|245.2|72.0||237.0|115.0|10.67|10.3|2.0|2.78|0.0|0
NE|4350.0||331-3698|0.0|9.0|0.0|124.3|76.0||6927.500000000001||23.55|250.7|115.0||-387.5||419.00000000000006|3.0|0
|57.0|408.0|357-3817|9.0|1.0|39.0|213.0|115.0|36.21|191.1|2800.0|16.24|182.7|115.0|8.22||3.0|2.57|0.0|0
MT|54.0|9.0|418-6412|0.0||0.0|134.3|7300.0||155.5|5000.0|661.0|102.1|68.0|4.59|14.7|4.0|99.25||0
9|20.0|415.0|353-2630||0.0||190.0|109.0|32.3|258.2|84.0|548.75||102.0|8.17||6.0|1.7|0.0|0
|49.0|510.0|410-7789|9.0|0.0|0.0|5965.0|||215.1|109.0|||||11.1|1.0||1.0|0
IL|7100.0|415.0|416-8428||0.0|0.0||95.0|14.42|136.7|63.0|1162.0|250.5|7400.0|11.27||6.0|3.83|50.0|0
NH||510.0|370-3359|0.0|0.0|0.0|226.1|105.0|38.44|201.5|107.0|17.13|246.2||11.08|10.3|5.0|-69.5|1.0|0
|172.0|408.0|383-1121|0.0|0.0|0.0|212.0|121.0|3604.0|31.2|115.0|132.5|-7332.5||13.2|12.6|10.0|3.4|3.0|0
AZ|12.0|9.0|360-1596|0.0|0.0|0.0|249.6||4243.0|252.4|119.0||280.2|90.0|315.25|11.8|3.0|-79.75||1
9|57.0|408.0|395-2854|0.0|1.0|25.0|176.8||30.06|195.0|3750.0|16.58||116.0|9.61||4.0|2.24||0
GA|72.0|415.0|362-1407|0.0|9.0|37.0|220.0|80.0||217.3||18.47|152.8||6.88|14.7||3.97|3.0|0
