STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|128.0|415.0|382-4657|0.0|1.0|25.0|265.1|110.0|45.07||99.0|16.78|244.7|91.0|11.01|10.0|-60.0|2.7|1.0|0
OH|8560.0|415.0|371-7191|0.0|1.0|26.0|161.6|123.0|27.47|195.5|103.0|16.62|5088.0|103.0|11.45|13.7|3.0|3.7|1.0|0
NJ|137.0|415.0|358-1921|0.0|0.0|0.0|-4868.0|114.0|41.38|121.2|110.0|10.3|3252.0|104.0|7.32||5.0|263.2|0.0|0
OH|84.0|408.0|375-9999||0.0|0.0|-5988.0|71.0|50.9|1238.0|88.0|5.26|196.9|89.0||6.6|7.0|35.6|2.0|0
||415.0|330-6626|1.0|0.0|0.0|166.7|113.0|28.34|2966.0|122.0|12.61||121.0|8.41|10.1|3.0|2.73|3.0|0
AL|118.0|510.0|391-8027|1.0|0.0|0.0|223.4|98.0|37.98|220.6||18.75|203.9|||6.3|6.0|1.7|0.0|0
|121.0|510.0|355-9993|0.0|1.0|24.0|218.2|88.0|2967.2000000000003|348.5|108.0|29.62|212.6|118.0||7.5|7.0|2.03|3.0|0
MO|147.0|415.0|329-9001|1.0|0.0|0.0|157.0|79.0|26.69|103.1|94.0|8.76|211.8|96.0|9.53|7.1|6.0|1.92|0.0|0
LA|117.0|408.0|335-4719|0.0|0.0|0.0||97.0|31.37|351.6|80.0|29.89|215.8|90.0|9.71|8.7|4.0|2.35|1.0|0
WV|141.0|415.0|330-8173|1.0|1.0||258.6|84.0||222.0|111.0|18.87|326.4|97.0|14.69|11.2|5.0|3.02|0.0|0
IN|65.0|415.0|329-6603|0.0|0.0|0.0||137.0|21.95|228.5|83.0|19.42|208.8|111.0|9.4|12.7|6.0|3.43|4.0|1
RI|74.0||344-9403|0.0|0.0|0.0|187.7|127.0||163.4|148.0|13.89|196.0|94.0|8.82|9.1|5.0|2.46||0
IA|168.0|408.0|363-1107|0.0|0.0|0.0|128.8|3840.0|438.0|104.9|71.0|8.92|141.1|128.0|6.35|11.2|2.0|3.02|1.0|0
MT|95.0|510.0|394-8006|0.0||0.0|156.6|88.0|26.62|247.6|75.0|21.05|192.3|115.0|8.65|12.3|5.0|3.32|3.0|0
IA|62.0|415.0|366-9238|0.0|0.0|0.0|9656.0|70.0|20.52|307.2|76.0|26.11|-4060.0|99.0|9.14|13.1|6.0|3.54|4.0|0
NY|161.0|415.0|351-7269|0.0|0.0|0.0|332.9|67.0|56.59|317.8||2160.8|160.6|128.0|7.23|5.4|9.0|-29.2|4.0|1
ID|85.0|408.0|350-8884|0.0|1.0|27.0|196.4|139.0|33.39|280.9|90.0|23.88|89.3|75.0|4.02|552.0|4.0|3.73|1.0|0
VT|93.0|510.0|386-2923|0.0||0.0|190.7|114.0|32.42|218.2|111.0|18.55|129.6|121.0|5.83|8.1|||3.0|0
VA|76.0|510.0|356-2992|0.0|1.0|33.0||66.0|32.25|212.8|65.0|18.09|165.7|108.0|7.46|10.0|5.0|2.7|1.0|0
TX|73.0|415.0|373-2782|0.0|0.0|0.0|224.4||||88.0|13.56||74.0|8.68|13.0|2.0|3.51|1.0|0
FL|147.0|415.0|396-5800|0.0|0.0|0.0||117.0|26.37|239.7|93.0|20.37|208.8|133.0|9.4|10.6|4.0|57.199999999999996|0.0|0
CO|6160.0|408.0|393-7984|0.0|0.0|0.0|62.4|89.0|10.61|169.9|121.0|14.44|209.6|64.0|9.43|5.7|6.0|30.8|5.0|1
AZ|130.0|415.0|358-1958|0.0|0.0|0.0||112.0|31.11|72.9|99.0|6.2|181.8|78.0|8.18|9.5|19.0|2.57|0.0|0
SC|111.0|415.0|350-2565|0.0|9.0|0.0|110.4|103.0|18.77|137.3|102.0||189.6|105.0|8.53|7.7|6.0|2.08|2.0|0
VA|132.0|510.0|343-4696|0.0|0.0|0.0|81.1|86.0|13.79|245.2|72.0|20.84|237.0|115.0|10.67|10.3|2.0|2.78||0
NE|174.0|415.0|331-3698|0.0|0.0|0.0|2486.0|76.0|21.13|277.1|112.0|23.55|250.7|115.0|11.28|15.5|5.0|4.19|3.0|0
WY|57.0|408.0|357-3817|0.0||39.0|213.0|115.0|36.21|191.1|112.0|16.24|182.7|115.0|8.22|9.5|3.0|2.57||0
MT|54.0||418-6412|0.0|0.0|0.0|134.3|73.0|22.83|155.5|100.0|13.22||68.0|183.6|14.7|4.0|3.97||0
MO|20.0|415.0|353-2630||0.0|0.0|190.0|109.0|32.3|258.2|84.0|21.95|181.5|102.0|8.17|6.3|6.0|136.0|0.0|0
HI|49.0||410-7789|0.0|0.0|0.0|119.3|117.0|20.28|215.1|109.0|18.28|-3574.0|90.0|8.04|11.1|1.0|3.0|1.0|0
IL|-2840.0|415.0|416-8428|0.0|0.0|0.0|84.8|95.0|14.42|136.7|63.0|11.62|250.5|148.0|11.27||6.0|3.83||0
