STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|128.0|415.0|382-4657||1.0|25.0|265.1|||7896.0|99.0|671.2|244.7|91.0|11.01||240.0||-20.0|0
OH|||371-7191|9.0|1.0|26.0|161.6|123.0|27.47|195.5|103.0|16.62|||11.45||3.0|-74.0||0
9|137.0|415.0|358-1921|||||114.0||121.2||-206.0|-3252.0|104.0||||3.29|0.0|0
OH|84.0||375-9999||0.0|0.0|299.4||50.9|61.9|88.0|5.26||89.0||6.6|7.0|||0
|75.0|415.0|330-6626|1.0|0.0||166.7||28.34|2966.0|122.0||||||3.0|2.73|3.0|0
AL||9.0|391-8027||0.0|0.0||-1960.0|37.98|220.6||18.75|203.9|118.0|9.18|6.3|6.0|34.0||0
|4840.0|510.0|355-9993||||17456.0|88.0|37.09||108.0|2369.6|212.6|118.0||7.5|7.0|2.03|-60.0|0
MO||415.0|329-9001|1.0||0.0|12560.0|79.0||103.1|94.0|||96.0||||||0
LA||408.0|335-4719|0.0|0.0|0.0|184.5||31.37|351.6||||90.0|9.71|8.7|4.0|2.35||0
|141.0|415.0|330-8173|1.0||37.0|||3516.8||||326.4|97.0|293.8|11.2|5.0|3.02|0.0|0
IN|||329-6603|0.0|0.0|0.0|129.1|10960.0|21.95|-4570.0|83.0||208.8|111.0|9.4|12.7|480.0|-68.60000000000001|-80.0|1
RI||415.0|344-9403||0.0|-0.0|187.7|127.0|31.91|13072.0|148.0|13.89|3920.0|94.0|8.82|9.1|5.0|2.46||0
IA|168.0|408.0|363-1107|0.0||||96.0|21.9|104.9||8.92|141.1|2560.0|254.0|224.0||3.02||0
MT|95.0|510.0|394-8006|0.0||0.0|-3132.0|88.0||19808.0|75.0|21.05|192.3|||12.3|200.0|66.39999999999999|120.0|0
||415.0|366-9238|9.0|0.0|0.0|120.7|70.0|410.4||76.0||203.0||731.2|13.1|6.0|3.54|4.0|0
NY|161.0|415.0|351-7269||0.0|0.0||1340.0|56.59|317.8|97.0|27.01|160.6|128.0|-144.60000000000002|5.4||1.46||1
ID|85.0||350-8884|9.0|1.0||||33.39|280.9|||89.3|||13.8|4.0|-74.6||0
VT|93.0|510.0|386-2923|0.0||0.0|190.7||32.42|218.2|111.0|742.0||9680.0|5.83|8.1|3.0|2.19||0
|3040.0||356-2992||9.0|33.0||66.0|32.25||65.0|18.09||108.0|7.46|10.0|5.0|||0
TX|73.0|9.0|373-2782|0.0|0.0|0.0|224.4|90.0||159.5|88.0|13.56|192.8|74.0||13.0|2.0|70.19999999999999|1.0|0
FL|147.0|415.0|396-5800|0.0|0.0|-0.0|155.1|117.0|26.37||93.0||208.8|||||2.86|0.0|0
CO|77.0|408.0|393-7984||0.0|0.0|2496.0|89.0||169.9||1155.2|209.6|64.0|9.43|5.7|6.0|-30.8|5.0|1
AZ|130.0||358-1958||0.0|0.0|||31.11||99.0|6.2|14544.0|78.0|||19.0|2.57|0.0|0
SC|111.0|415.0|350-2565|0.0|9.0||||18.77||102.0|||2100.0|||480.0|2.08|2.0|0
|||343-4696||0.0|0.0|81.1|86.0|13.79||72.0|-416.8|237.0|||10.3|2.0|222.39999999999998|0.0|0
NE|174.0|415.0|331-3698|0.0|0.0|0.0|124.3|76.0|422.59999999999997|277.1|-2240.0|-471.0|10028.0||11.28|15.5|5.0|4.19|3.0|0
|57.0||357-3817||9.0||213.0|-2300.0||191.1|112.0|324.79999999999995|182.7|115.0|8.22|760.0|3.0|2.57|0.0|0
|54.0|408.0|418-6412|||||73.0|456.59999999999997||100.0||-2042.0||4.59|||3.97||0
|20.0||353-2630|0.0|0.0||190.0|8720.0|32.3|20656.0|84.0|21.95|181.5|102.0|8.17|504.0|6.0|1.7||0
|49.0|510.0|410-7789||9.0|0.0|||20.28|||18.28|178.7||321.59999999999997|11.1||3.0|1.0|0
IL|142.0|415.0|416-8428|||||95.0|288.4|136.7|-1260.0|11.62|250.5|148.0|11.27|568.0||3.83|2.0|0
9|75.0|9.0|370-3359||0.0|0.0|226.1|105.0|38.44|4030.0|||246.2|98.0|11.08|10.3||2.78||0
LA|172.0|9.0|383-1121|0.0|0.0|0.0|212.0|||31.2|115.0|2.65|293.3||13.2|504.0||3.4|60.0|0
AZ|||360-1596||0.0|0.0|249.6||42.43|252.4|119.0|||7200.0|12.61|236.0|||1.0|1
