STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
9|||382-4657|9.0||25.0||||||16.78||-1820.0|11.01||-60.0|108.0|80.0|0
|107.0||371-7191|0.0|||161.6|9840.0||7820.0||1329.6000000000001||103.0||13.7|3.0|3.7|1.0|0
|137.0|415.0|358-1921|9.0||0.0|243.4|114.0|41.38|-2424.0|||162.6|104.0|||||0.0|0
OH|||375-9999|||0.0|299.4|||2476.0||5.26||89.0||||-35.6|2.0|0
|||330-6626||0.0|0.0||||-2966.0|122.0|252.2||-2420.0|-168.2|||109.2||0
AL|118.0||391-8027|9.0|||223.4|-1960.0||220.6||||4720.0||6.3|6.0|||0
MA|121.0|510.0|355-9993||9.0|1920.0||7040.0||348.5|108.0|||-2360.0||150.0|280.0|2.03||0
||415.0|329-9001||||12560.0|||103.1|1880.0|8.76|||9.53||6.0||0.0|0
|117.0||335-4719|9.0||0.0||-1940.0|-627.4||80.0||17264.0|||174.0|4.0|2.35||0
WV||415.0|330-8173||||||||||326.4||-293.8|||3.02||0
||415.0|329-6603|0.0|9.0|0.0|129.1|||228.5||1553.6000000000001|208.8||188.0|||3.43|4.0|1
|74.0||344-9403|9.0|||||31.91|163.4|2960.0||196.0||176.4|9.1|-100.0|49.2|0.0|0
IA|6720.0||363-1107|9.0||||-1920.0|-438.0||71.0||5644.0||127.0|11.2|2.0|3.02|1.0|0
9|95.0||394-8006|||0.0|-3132.0||1064.8|-4952.0|75.0||||||||120.0|0
IA|62.0|415.0|366-9238||||2414.0||20.52||1520.0|26.11|203.0|99.0|9.14||6.0||4.0|0
NY||415.0|351-7269|||0.0|332.9|||317.8||2160.8||||5.4||1.46|-80.0|1
|||350-8884|0.0|1.0|1080.0|15712.0||33.39||90.0|23.88|89.3||160.79999999999998|276.0|4.0|||0
|93.0||386-2923|||||114.0|32.42|||18.55|129.6|121.0||8.1|60.0|87.6||0
VA|||356-2992|0.0|1.0|33.0||5280.0||212.8|2600.0||||||5.0|||0
TX|5840.0||373-2782|0.0||0.0||-1800.0|38.15|-3190.0|||192.8|5920.0||1040.0|80.0|70.19999999999999||0
||9.0|396-5800|0.0|||3102.0||26.37|4794.0|93.0||16704.0|||424.0|4.0||0.0|0
CO|77.0|408.0|393-7984|||||3560.0|-212.2|169.9|121.0|1155.2|||9.43|228.0|480.0|123.2|5.0|1
