STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
||415.0|382-4657|9.0|||||3605.6|15792.0|||244.7||11.01|10.0|3.0|54.0||0
OH|107.0|415.0|371-7191||1.0|-520.0|161.6|123.0||7820.0|||254.4|103.0|||3.0|148.0||0
9|||358-1921||||||41.38|121.2||10.3||104.0|7.32||5.0|3.29||0
|84.0|408.0|375-9999|||||||61.9||5.26||7120.0|354.4|6.6|7.0|||0
||9.0|330-6626|9.0|9.0|0.0|166.7||-566.8||122.0||186.9|121.0|||3.0|||0
9||9.0|391-8027|9.0|0.0||8936.0||-759.5999999999999||101.0|18.75|203.9|||6.3||1.7||0
||510.0|355-9993|9.0|1.0|||88.0||6970.0||-592.4|||||7.0|2.03||0
|-2940.0|415.0|329-9001||0.0|0.0|12560.0|||||8.76|211.8|||7.1||1.92|0.0|0
||408.0|335-4719|||||97.0|627.4|14064.0|80.0||215.8|90.0|9.71||4.0|94.0||0
WV||9.0|330-8173|1.0|||258.6|84.0|||||6528.0|-1940.0|587.6|896.0|5.0|||0
|||329-6603|9.0||||||228.5|83.0|||||||-68.60000000000001|4.0|1
RI|74.0|9.0|344-9403||9.0|||5080.0||6536.0|148.0|13.89|||705.6||||-0.0|0
|168.0|9.0|363-1107|9.0|9.0|0.0|||1752.0|104.9|71.0||||508.0|11.2||3.02||0
MT|||394-8006|9.0|0.0||-3132.0|88.0|26.62||75.0||192.3|4600.0|692.0|12.3|100.0|-66.39999999999999||0
9|||366-9238||||120.7|||307.2||522.2|203.0||||6.0||80.0|0
|161.0|415.0|351-7269||||332.9|67.0||317.8|97.0||160.6||||180.0||80.0|1
||9.0|350-8884|||||5560.0|667.8|||23.88|-1786.0||||4.0|3.73||0
