STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|128.0|415.0|382-4657|9.0||25.0|265.1|110.0|45.07|197.4|99.0|||91.0|11.01|10.0|-60.0|2.7|1.0|0
OH|107.0|9.0|371-7191||1.0|2080.0|161.6||27.47|195.5|8240.0|16.62|254.4|103.0|11.45|-274.0||||0
NJ|-2740.0|415.0|358-1921|0.0|0.0|0.0|243.4|114.0|41.38|121.2||10.3|||7.32|-244.0|5.0|3.29|0.0|0
OH|84.0|408.0|375-9999||0.0||||50.9|61.9|88.0|5.26|196.9|89.0|8.86||7.0|142.4|2.0|0
OK|75.0||330-6626|1.0|0.0||166.7|113.0|28.34||-2440.0|12.61|186.9|121.0|8.41||3.0||3.0|0
AL||510.0|391-8027|9.0|0.0|0.0|8936.0|98.0|||101.0|18.75||||6.3||1.7|0.0|0
||510.0|355-9993|0.0|9.0||218.2|88.0|37.09||||212.6|2360.0|-191.4|7.5|7.0||3.0|0
||415.0|329-9001|1.0||-0.0|157.0|6320.0|-533.8000000000001||3760.0|8.76||96.0|9.53|7.1||153.6|0.0|0
LA||9.0|335-4719||0.0|0.0|184.5|||351.6||597.8||90.0|9.71||320.0|2.35|1.0|0
WV|141.0||330-8173|1.0|1.0|740.0|258.6|84.0|879.2|17760.0|111.0|377.40000000000003|326.4|97.0|||5.0|3.02|0.0|0
IN|65.0|9.0|329-6603|0.0|0.0|0.0|129.1|137.0|21.95|228.5|1660.0|19.42|208.8|111.0|188.0|12.7|||4.0|1
|74.0||344-9403|0.0|0.0|0.0|187.7|127.0|31.91|163.4|148.0|13.89|196.0|7520.0|352.8|364.0|100.0|2.46|0.0|0
IA|168.0|408.0|363-1107|0.0|0.0|0.0|128.8|96.0|21.9|4196.0|2840.0|-178.4|141.1|128.0||11.2|2.0||-20.0|0
|95.0|9.0|394-8006|0.0|0.0|0.0|156.6|1760.0||247.6|75.0|421.0|192.3|9200.0|8.65|246.0||3.32|240.0|0
IA|62.0|415.0|366-9238|0.0|9.0|-0.0|120.7|70.0|20.52||76.0|26.11|203.0|99.0||13.1|240.0|3.54|4.0|0
9|161.0|415.0|351-7269||0.0|0.0||67.0|-1131.8000000000002|317.8|97.0||160.6|128.0|7.23|5.4|-180.0|116.8|4.0|1
ID|85.0|9.0|350-8884|0.0|1.0||196.4|139.0|33.39|280.9|90.0|23.88|3572.0|1500.0|4.02|13.8|160.0|3.73|1.0|0
