STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|128.0|415.0|382-4657|0.0|1.0|25.0|265.1|110.0|45.07|197.4|99.0|16.78|244.7|91.0|11.01|||2.7|1.0|0
|107.0|415.0|371-7191|0.0|1.0|26.0|161.6|123.0||195.5|103.0|16.62|254.4||11.45|342.5|3.0||1.0|0
|137.0|415.0|358-1921|0.0|0.0|0.0|243.4||41.38|121.2|110.0|10.3|162.6|-2600.0|7.32|12.2|5.0|164.5|-0.0|0
OH|84.0|408.0|375-9999|1.0||0.0|299.4|71.0|50.9|61.9|88.0||4922.5|89.0|8.86|6.6|7.0|44.5||0
OK||415.0|330-6626|1.0||0.0|166.7|113.0|28.34||6100.0|12.61|186.9|12100.0|210.25|252.5|75.0|136.5|3.0|0
AL|-2950.0|510.0|391-8027|1.0|0.0|0.0|223.4|98.0||220.6|101.0|18.75|5097.5|118.0|9.18|6.3|6.0|85.0||0
MA||510.0|355-9993||1.0|24.0|218.2||-927.2500000000001|8712.5||29.62|212.6|118.0|9.57||7.0||-75.0|0
9|147.0|415.0|329-9001|9.0|0.0|0.0|157.0|79.0|||94.0||5295.0|96.0|9.53||6.0|1.92|0.0|0
LA|117.0|408.0|335-4719|0.0|9.0|0.0||97.0||351.6|80.0|29.89|215.8||9.71|8.7|4.0|2.35||0
|3525.0|415.0|330-8173|9.0|1.0|37.0|258.6|84.0|43.96|222.0|-2775.0|18.87|326.4|-2425.0|14.69|11.2|||0.0|0
||415.0|329-6603|0.0|0.0|0.0|129.1|137.0|21.95|228.5|83.0|19.42||111.0|9.4|12.7|-150.0|3.43||1
|74.0|415.0|344-9403|9.0||0.0|187.7|127.0|31.91|163.4|148.0|13.89|196.0|94.0|8.82||-125.0|2.46|0.0|0
||408.0|363-1107|0.0|0.0|0.0|128.8|4800.0|21.9|104.9|71.0|8.92|141.1|3200.0|6.35|11.2|2.0|3.02|1.0|0
MT|95.0|510.0|394-8006|0.0||0.0|156.6|88.0|26.62|247.6|75.0||19230.0|115.0|865.0||5.0|3.32|3.0|0
