STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
|128.0|415.0|382-4657|0.0|1.0|25.0|265.1|110.0|45.07|-3948.0|99.0|16.78|-4894.0|91.0|11.01||240.0|2.7||0
9|107.0|9.0|371-7191|0.0|1.0|26.0|||27.47|195.5|-2060.0||254.4|8240.0|11.45||3.0||80.0|0
NJ||415.0|358-1921||0.0|0.0||114.0|41.38|121.2|110.0|10.3|162.6||-146.4|12.2|5.0||0.0|0
OH||9.0|375-9999|1.0|9.0|0.0|23952.0|71.0|||||196.9|7120.0||6.6|||40.0|0
OK|-1500.0|9.0|330-6626||0.0|0.0|13336.0||28.34|148.3|122.0|12.61||121.0|8.41||3.0||3.0|0
AL|118.0||391-8027||0.0|0.0||7840.0|37.98|220.6||18.75|203.9|118.0|9.18|||1.7||0
|121.0||355-9993|0.0|1.0|24.0|218.2|||348.5|108.0|29.62|||9.57||7.0|40.599999999999994|3.0|0
MO||9.0|329-9001|9.0|0.0|0.0|157.0|||-2062.0|94.0|8.76||96.0|9.53|7.1||1.92|0.0|0
|-2340.0|408.0|335-4719||0.0|0.0|184.5|97.0|31.37|351.6|80.0|29.89||90.0|||-80.0|2.35|40.0|0
WV||9.0|330-8173|||740.0||84.0|||8880.0||||14.69|11.2|||0.0|0
||415.0|329-6603|0.0|0.0|0.0||137.0||9140.0|83.0|19.42||111.0|376.0||6.0|3.43|4.0|1
RI|2960.0||344-9403|0.0|0.0|0.0|187.7||31.91|163.4||555.6||94.0|8.82|182.0|5.0|-49.2|0.0|0
||408.0|363-1107||||128.8|3840.0|876.0|104.9|71.0|8.92|141.1|128.0|6.35|11.2||60.4||0
MT|||394-8006|0.0|0.0|0.0||||247.6|1500.0|21.05|192.3|9200.0|8.65|12.3|5.0|3.32|3.0|0
9||9.0|366-9238||0.0|0.0|4828.0|70.0|20.52|307.2||26.11||7920.0|9.14|13.1||3.54||0
|161.0|415.0|351-7269|0.0|9.0|0.0|6658.0||56.59|317.8|97.0||160.6||7.23|5.4|9.0||4.0|1
||408.0|350-8884||1.0|540.0|||33.39||90.0||7144.0|75.0|4.02||80.0|3.73|1.0|0
VT|93.0||386-2923|0.0||||114.0|-648.4000000000001|218.2|111.0||129.6|121.0||8.1||2.19|3.0|0
|76.0||356-2992|0.0||33.0|189.7|66.0|32.25|17024.0||18.09|165.7|108.0|7.46||5.0|2.7|1.0|0
TX|73.0|415.0|373-2782|0.0|0.0|0.0|224.4|90.0||159.5|88.0|271.2||2960.0|8.68|||3.51||0
9||415.0|396-5800||9.0||155.1|117.0||||||-2660.0|9.4|10.6|||0.0|0
|77.0|408.0|393-7984|0.0|9.0|0.0|62.4|89.0|10.61|169.9|121.0|14.44|209.6|5120.0|||120.0|1.54|-100.0|1
9|130.0|415.0|358-1958|0.0|0.0|0.0||112.0|||99.0|6.2||78.0||9.5|760.0|102.8||0
SC|4440.0|9.0|350-2565|0.0|9.0|0.0|110.4|103.0|18.77|137.3||||105.0|8.53|7.7|6.0|2.08||0
VA|132.0|510.0|343-4696||||81.1|-1720.0|13.79|-4904.0|5760.0||237.0||||2.0|2.78||0
NE|174.0||331-3698|0.0||0.0||76.0|21.13|11084.0|112.0|23.55|250.7|115.0||15.5|||240.0|0
WY|4560.0|408.0|357-3817||||||1448.4|191.1|112.0||7308.0|||-190.0|3.0|||0
9|1080.0|9.0|418-6412|0.0|0.0||134.3|73.0|22.83||4000.0||102.1|||14.7||3.97||0
|20.0|9.0|353-2630|0.0|||190.0|-2180.0||258.2|6720.0|21.95|-3630.0||8.17||6.0|1.7||0
HI||510.0|410-7789|||0.0|2386.0||20.28||109.0|18.28|178.7|90.0|8.04|11.1|1.0|3.0|1.0|0
||415.0|416-8428|0.0|0.0|-0.0||95.0|1153.6|||11.62|5010.0|148.0|11.27|14.2|6.0|3.83|160.0|0
9|1500.0|9.0|370-3359|0.0|9.0|-0.0|9044.0|4200.0|3075.2|-4030.0|107.0|342.59999999999997|246.2||11.08|||2.78||0
9|||383-1121|0.0|9.0|0.0|212.0|4840.0|36.04|31.2||2.65||78.0||12.6|10.0|3.4||0
9|12.0|9.0|360-1596||0.0|0.0||2360.0||252.4||-429.0||7200.0|12.61|11.8|3.0|3.19|1.0|1
|||395-2854||9.0|2000.0|176.8||30.06|195.0|75.0|16.58|213.5|2320.0||8.3|||0.0|0
|5760.0|415.0|362-1407|9.0|1.0|1480.0|220.0|80.0|37.4|217.3|8160.0|18.47|6112.0||6.88||6.0|-79.4|-60.0|0
AK|36.0|408.0|341-9764||1.0|30.0||128.0|24.87||80.0|276.2|129.3|||1160.0|6.0|3.92|0.0|0
MA|78.0|9.0|353-3305|0.0|9.0|0.0||||223.7||19.01|227.8||10.25|10.0|5.0|54.0|1.0|0
||9.0|402-1381||1.0|33.0|203.9|106.0||187.6||15.95|101.7|4280.0|4.58|||113.6|60.0|0
NJ||408.0|332-9891||0.0||140.4|94.0|23.87||92.0|462.0|188.3||677.6||9.0|3.0|1.0|0
|3920.0|408.0|372-9976||0.0|0.0|126.3|8160.0||||283.6||5400.0|8.45|9.4|2.0|2.54||0
9|135.0|9.0|383-6029|||41.0|173.1|||||17.33|122.2|-1560.0|5.5||1200.0||0.0|1
AR|34.0|9.0|353-7289||0.0||||1697.6||-1960.0||12460.0|78.0|||4.0|2.7|2.0|0
|160.0||390-7274|0.0||0.0|||14.59||110.0|14.05|178.5|92.0||736.0||2.48||0
|64.0|9.0|352-1237|0.0||0.0|154.0|67.0|26.18|225.8||19.19|265.3||11.94||3.0|0.95|40.0|0
|2360.0|408.0|353-3061||1.0||120.9|-1940.0|822.0||7360.0|18.11|163.1|||||184.0|2.0|0
MI|65.0||363-5450|0.0||0.0|211.3||2873.6000000000004|3252.0|122.0|||118.0||13.2|5.0|3.56|3.0|0
DE|2840.0||364-1995|0.0|9.0|0.0|187.0|133.0|31.79||5920.0||242.2|10160.0|10.9|7.4|5.0||2.0|0
ID||415.0|398-1294|9.0|9.0|0.0|159.1|||231.3|117.0|19.66|||6.44|176.0|3.0||400.0|1
WY|7760.0|9.0|405-7146||1.0|24.0|133.2|135.0|1811.2|217.2|58.0|18.46|70.6||3.18|880.0|240.0|2.97||0
||408.0|413-4957|0.0|0.0||191.9|108.0|||96.0||18944.0|87.0|||5.0|2.11||0
IN||9.0|420-5645|0.0|0.0|0.0|220.6||37.5||115.0|358.8|249.0||11.21|6.8||1.84|1.0|0
VA|||349-4396||0.0||186.1||-632.8|15216.0|66.0|16.17|282.8|57.0|12.73|11.4|6.0|-61.6||0
UT|||404-3211|||0.0||4680.0|1089.2|267.5||22.74|228.5|68.0|411.2||5.0|2.51|2.0|0
WY|||353-3759|||0.0||83.0|25.67||9280.0|746.8000000000001|203.9|127.0||9.7||2.62|5.0|1
IN|81.0|408.0|363-5947||0.0|0.0|175.5|67.0|29.84|249.3|85.0|21.19|5404.0||||3.0|2.75||0
CO|2820.0||340-5121||0.0|0.0|126.9||-431.4|3600.0|62.0||140.8|2560.0|6.34|8.0|2.0|||0
|||370-7574||1.0|-600.0|198.4|129.0||75.3|77.0|6.4||||-116.0||1.57|3.0|1
WI||415.0|403-9733|0.0|0.0|0.0|148.8||2024.0|||20.95|129.8|103.0||-242.0|240.0||3.0|0
OK||408.0|355-7251|9.0|9.0|0.0|229.3|103.0|38.98|177.4|126.0|||95.0|8.52||640.0||1.0|0
ID|174.0|9.0|359-5893||0.0|0.0|192.1|97.0|32.66||94.0||166.6|54.0||456.0||3.08||0
|2320.0|415.0|405-3371|9.0|1.0|34.0|268.6|-1660.0||||15.15|166.3||7.48||3.0|3.13|2.0|0
9|1480.0|510.0|344-5117|9.0|1.0|-660.0|193.7||||96.0|20.92|138.0|7360.0|6.21|14.6||||0
|149.0|408.0|332-8160||9.0|28.0|180.7|92.0|1228.8|187.8|||-5310.0|53.0||12.6|3.0|3.4|3.0|0
|38.0|9.0|359-4081|9.0||-0.0||98.0|446.0|162.9|97.0|13.85|159.0|106.0|||6.0|2.21|2.0|0
WA||415.0|352-8305|0.0|1.0||148.1|74.0||3390.0|3520.0|1152.8|214.1|102.0||6.2|400.0|1.67|2.0|0
9|43.0|415.0|329-9847|||0.0|251.5|8400.0|42.76|212.8|104.0|18.09||1340.0|7.1|9.3||2.51|-0.0|0
9|113.0||365-9011|1.0|0.0|0.0||-1860.0|||||129.3||116.4||8.0|2.24||0
UT|126.0||338-9472||9.0||211.6|70.0|||80.0|18.44|153.5||552.8|7.8|80.0|||0
9||510.0|374-8042|0.0||||101.0|30.41||110.0|-287.4||100.0|267.6|||3.73|-80.0|1
|138.0||359-1231|9.0|0.0|0.0|241.8|1860.0|41.11||1660.0|579.6||104.0|13.29|11.8||3.19|3.0|0
||510.0|413-7170|0.0|1.0|46.0|224.9|3880.0||188.2|84.0|16.0|254.6|61.0|11.46|12.1|160.0|||0
9|147.0|510.0|415-2935|9.0|9.0|0.0|248.6|3320.0|42.26|148.9|85.0|12.66|172.5|109.0||8.0|4.0|2.16||0
|90.0|415.0|399-4246|0.0||0.0|203.4|146.0|34.58|226.7||19.27||105.0|6.86|7.3||1.97|1.0|0
|85.0|415.0|362-5889|0.0|0.0|0.0|9432.0|109.0|-801.8000000000001||94.0|13.36|188.2|99.0|338.8|960.0|120.0|3.24|0.0|0
9|4000.0|415.0|350-8921|9.0|0.0|0.0|157.1|90.0||223.3|||||8.16|6.1|2.0||1.0|0
|1640.0|415.0|374-5353||0.0|0.0|||51.05|181.0|100.0|15.39|270.1|73.0||11.7||63.2|0.0|1
NY||408.0|360-1171|0.0|0.0|-0.0|61.6|117.0|10.47|1542.0|85.0|6.55|173.0|99.0|7.79|656.0|7.0|2.21|4.0|1
9|46.0|415.0|355-8887|9.0||0.0|214.1|72.0|||104.0|558.8000000000001|3550.0|113.0|7.99|328.0|3.0|2.21|2.0|0
MD|||333-1967|0.0|9.0|||98.0|1157.2|155.2||13.19|228.6||10.29|300.0||||0
WV||9.0|354-4577|0.0|9.0|0.0|201.1|99.0|||74.0|2064.0|224.0|119.0|10.08|13.2|2.0|3.56|1.0|0
|116.0|415.0|331-7425|1.0|0.0||215.4|104.0||204.8|-1580.0|17.41|278.5||250.6|-252.0|5.0|3.4|3.0|0
CO|55.0|408.0|419-2637|0.0||25.0||9840.0|28.15||95.0|11.57||90.0|||40.0||3.0|0
