STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
9|128.0|415.0|382-4657|0.0|1.0|25.0|||45.07|197.4||16.78|244.7|91.0|11.01|-250.0|||100.0|0
9||415.0|371-7191|0.0|9.0||||27.47||103.0|1662.0|254.4||286.25||||1.0|0
NJ||415.0|358-1921|||0.0|6085.0||41.38|121.2||||5200.0||-305.0||3.29||0
9|84.0||375-9999|1.0|0.0|0.0||3550.0|-1272.5||2200.0|||89.0|8.86|||1.78|2.0|0
|7500.0|415.0|330-6626|||0.0||-2825.0|708.5||122.0||186.9||8.41|10.1|3.0||3.0|0
AL||510.0|391-8027|9.0|||223.4||37.98|5515.0|||20390.0|||||1.7||0
|12100.0||355-9993|9.0|9.0|||88.0|||||212.6|2950.0|||7.0|-50.74999999999999||0
9|14700.0|9.0|329-9001|||0.0|7850.0||26.69|-2577.5|94.0||211.8|9600.0||||1.92|-0.0|0
9||408.0|335-4719|9.0||0.0||97.0||35160.0||29.89|215.8|90.0|971.0000000000001|||2.35|25.0|0
|141.0|9.0|330-8173|||||84.0||222.0||18.87|||1469.0|280.0|5.0|3.02|-0.0|0
IN||9.0|329-6603|0.0||0.0|||21.95|5712.5|83.0|19.42||11100.0|940.0||-150.0||4.0|1
|||344-9403|0.0|9.0||18770.0|127.0|31.91|163.4||694.5|196.0|94.0||-227.5|5.0|61.5||0
IA||9.0|363-1107|0.0|9.0||-3220.0000000000005|||104.9|71.0||-3527.5|128.0|6.35|11.2||||0
|-2375.0||394-8006|0.0|0.0|0.0|156.6|2200.0|1331.0||75.0|||115.0||12.3|5.0|||0
9|62.0||366-9238||0.0|0.0|120.7|-1750.0|||||10150.0||457.0|655.0||3.54|4.0|0
NY|||351-7269|0.0||0.0|332.9||56.59|-7945.0|4850.0|675.25|160.6|12800.0|7.23|5.4||146.0|200.0|1
