STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS||415.0|382-4657|0.0||2500.0|26510.000000000004|||197.4|99.0|1678.0||91.0|11.01||||100.0|0
9|-2675.0||371-7191|||26.0|161.6|||4887.5||415.5||103.0||342.5|3.0||1.0|0
NJ|137.0|415.0|358-1921|9.0|0.0|0.0|||-1034.5|121.2||10.3||104.0|7.32|-305.0||3.29||0
OH|4200.0|9.0|375-9999|||0.0|29939.999999999996|||||263.0|196.9|4450.0||-165.0|-175.0||-50.0|0
|3750.0||330-6626|1.0|9.0|0.0|||2834.0|148.3|122.0|315.25|||8.41||75.0||300.0|0
AL|-2950.0|510.0|391-8027||0.0|0.0|223.4|||22060.0||||118.0|9.18|6.3||1.7|0.0|0
MA|||355-9993|0.0||2400.0|21820.0|||||29.62|212.6|5900.0||-187.5|700.0||-75.0|0
MO||9.0|329-9001|||-0.0|7850.0|79.0|26.69|103.1|94.0||211.8|96.0||||1.92|0.0|0
|5850.0||335-4719|9.0|9.0|0.0|-4612.5||||80.0|-747.25|5395.0||-242.75000000000003|8.7|400.0|117.5||0
|141.0|9.0|330-8173|1.0|||258.6||43.96|222.0|5550.0|18.87|326.4|97.0|14.69|11.2||3.02|-0.0|0
9|-1625.0|415.0|329-6603||||129.1||21.95|5712.5|||208.8|2775.0|-235.0|12.7||||1
9|3700.0|9.0|344-9403|0.0|9.0||187.7||-797.75|163.4|-3700.0||196.0||||-125.0||0.0|0
||408.0|363-1107|0.0|0.0|0.0||||104.9||-223.0||-3200.0|6.35|-280.0|2.0|||0
