STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
|128.0|415.0|382-4657|0.0|1.0||-5302.0|110.0|45.07|197.4|99.0|16.78||-1820.0|11.01|10.0|3.0|2.7|1.0|0
OH||415.0|371-7191|9.0||520.0|161.6||||103.0|16.62|254.4|||13.7|3.0|3.7|1.0|0
9|137.0|415.0|358-1921|0.0||0.0|243.4|114.0|41.38|121.2|8800.0|10.3|162.6|104.0|7.32|976.0|5.0||0.0|0
OH|84.0|408.0|375-9999|1.0|0.0|0.0|299.4|71.0||1238.0|88.0||196.9||8.86|6.6|280.0|1.78|2.0|0
OK|75.0|415.0|330-6626|9.0|0.0||||28.34|148.3|||186.9|121.0||10.1|3.0|2.73||0
9|118.0|9.0|391-8027|1.0|0.0|0.0|||37.98|220.6|101.0|18.75|203.9|118.0|9.18|-126.0|6.0|1.7|0.0|0
MA|121.0|510.0|355-9993|0.0|1.0|24.0|218.2||741.8000000000001|||29.62|212.6|-2360.0|9.57|7.5|7.0|2.03|3.0|0
||415.0|329-9001|1.0|0.0|0.0|157.0||1067.6000000000001|103.1|94.0|8.76|211.8|1920.0||7.1|-120.0|1.92|0.0|0
LA|117.0|408.0|335-4719||0.0|0.0|184.5|97.0||351.6|80.0|29.89||90.0|9.71|8.7|4.0|2.35|1.0|0
WV|141.0|415.0|330-8173|1.0|1.0||258.6|||222.0|111.0|-377.40000000000003|326.4|97.0|14.69|11.2|5.0|3.02||0
IN|65.0||329-6603|0.0|0.0|0.0|129.1|5480.0|21.95||83.0||208.8|111.0|9.4||120.0|||1
9|74.0|415.0|344-9403||0.0|||2540.0|31.91|6536.0|148.0|13.89||94.0|8.82|9.1||2.46|0.0|0
9||408.0|363-1107|9.0|0.0|0.0|128.8|96.0|21.9|104.9|1420.0|8.92|141.1|128.0||11.2|2.0||40.0|0
MT|95.0|510.0|394-8006|0.0|0.0|0.0|||26.62|247.6|75.0|||115.0|8.65|12.3|5.0|3.32||0
IA|62.0||366-9238|0.0|0.0|0.0|120.7|70.0|20.52|307.2|76.0|26.11|203.0||9.14|13.1|6.0|283.2|4.0|0
NY|161.0|415.0|351-7269|9.0|0.0|0.0||2680.0|56.59|317.8|97.0|27.01|160.6|128.0||||1.46|4.0|1
ID|85.0|408.0|350-8884|0.0|1.0|540.0|196.4|139.0|33.39|280.9|90.0|-477.59999999999997|1786.0|1500.0||13.8|4.0|||0
VT|93.0|510.0|386-2923|0.0|0.0||190.7||32.42|218.2||18.55|129.6||5.83|162.0|||3.0|0
VA|76.0||356-2992|0.0|1.0||189.7|1320.0|32.25|212.8|65.0|18.09|165.7|108.0|7.46|10.0||2.7|1.0|0
TX|1460.0|415.0|373-2782|0.0|0.0|0.0|8976.0|90.0|38.15|159.5||13.56||74.0|173.6|13.0|2.0|-70.19999999999999|1.0|0
9||415.0|396-5800|9.0|0.0|0.0|155.1|117.0|||||208.8|5320.0|9.4|424.0|4.0|2.86||0
CO|77.0|408.0|393-7984|9.0|9.0|0.0|62.4|89.0|10.61||4840.0|14.44|209.6|64.0|-188.6||6.0|1.54|100.0|1
AZ|130.0|415.0|358-1958|0.0|0.0|0.0|183.0|112.0||72.9||6.2||78.0|8.18|9.5|19.0||0.0|0
SC|111.0|415.0|350-2565|0.0|0.0|0.0|110.4|103.0|18.77||102.0|933.6|189.6|105.0|8.53|7.7||||0
VA||510.0|343-4696||9.0|0.0|81.1|1720.0|13.79|245.2|72.0|20.84|||10.67|412.0||2.78|-0.0|0
9|174.0|415.0|331-3698|9.0||0.0||76.0|1690.3999999999999|277.1|||10028.0|-2300.0|11.28|15.5|5.0||3.0|0
||408.0|357-3817||1.0|39.0|8520.0|115.0|36.21||112.0|16.24|182.7|115.0|8.22|9.5|3.0|2.57|0.0|0
MT|54.0|408.0|418-6412|0.0|0.0|0.0||1460.0|22.83|155.5||13.22|102.1|68.0|4.59|-294.0|4.0|-79.4|3.0|0
MO|20.0||353-2630|9.0||0.0|190.0|109.0|||84.0|21.95|181.5|8160.0|8.17|6.3|6.0|1.7|-0.0|0
HI|49.0|510.0|410-7789|0.0|0.0|0.0||117.0|20.28||109.0|18.28|178.7|90.0|8.04|11.1||3.0|-20.0|0
IL|142.0|415.0|416-8428|0.0|||1696.0|95.0||136.7|63.0|11.62|250.5|||14.2|6.0|3.83|2.0|0
NH|75.0||370-3359|0.0|0.0||226.1|105.0|38.44||107.0|17.13|246.2||11.08||5.0||1.0|0
LA|172.0|408.0|383-1121|9.0||0.0|212.0||36.04||-2300.0|2.65|293.3|78.0|13.2|-252.0|400.0|-68.0||0
AZ|12.0|408.0|360-1596|9.0|9.0|0.0|||42.43|10096.0||21.45|-5604.0|90.0|12.61|472.0|3.0|3.19|1.0|1
OK|2280.0|408.0|395-2854|0.0|1.0|25.0|||601.1999999999999|195.0|75.0|-331.59999999999997|||768.8|8.3|4.0|||0
|72.0|415.0|362-1407||1.0|37.0|17600.0|1600.0||217.3|102.0|18.47|152.8||6.88|1176.0||3.97|-60.0|0
AK|-720.0|408.0|341-9764|0.0|1.0|30.0|146.3||497.40000000000003||80.0|276.2|129.3|8720.0|5.82||6.0|3.92|0.0|0
MA|78.0|415.0|353-3305|0.0|9.0|0.0|130.8|64.0|889.5999999999999|223.7|9280.0|19.01|227.8|108.0|10.25|10.0||216.0|1.0|0
AK|136.0|9.0|402-1381|1.0||33.0|203.9|106.0|34.66|187.6|99.0|15.95|101.7|-2140.0|4.58||6.0||3.0|0
||408.0|332-9891|0.0|0.0|0.0|2808.0|94.0|23.87|271.8|92.0|23.1|188.3|4320.0|8.47|11.1|9.0||20.0|0
GA|98.0||372-9976|9.0|0.0|0.0|2526.0|102.0|21.47|166.8|85.0||187.8|135.0||9.4|2.0|2.54|3.0|0
MD|135.0|408.0|383-6029|1.0|||173.1|85.0|29.43|203.9||17.33|122.2||5.5|14.6|15.0||0.0|1
AR|34.0|9.0|353-7289|||0.0|124.8|82.0|1697.6||98.0||||14.02|10.0|4.0|2.7|2.0|0
||415.0|390-7274|0.0||0.0|||1167.2|165.3|110.0|||92.0||9.2||99.2|60.0|0
|64.0|510.0|352-1237|0.0|0.0||154.0|67.0|523.6|225.8|118.0|1535.2|||11.94|3.5|3.0|76.0|1.0|0
OR|59.0||353-3061|0.0||28.0|120.9|97.0||213.0|-1840.0|18.11||2320.0|293.6||5.0|||0
MI||415.0|363-5450|0.0|0.0|0.0|211.3|120.0|35.92|162.6|122.0|13.82|134.7|118.0|6.06|13.2||3.56|3.0|0
DE|142.0|408.0|364-1995||0.0|0.0|187.0|133.0|31.79|134.6|2960.0||242.2||10.9|7.4||40.0|2.0|0
ID|119.0||398-1294|9.0|0.0|0.0|159.1|114.0|27.05|231.3||19.66|143.2||6.44||3.0||5.0|1
WY|1940.0||405-7146|0.0||24.0|133.2|135.0|452.8|217.2|58.0|18.46|70.6|79.0|-63.6|||2.97|1.0|0
IA|52.0|9.0|413-4957|0.0|0.0|0.0|191.9|108.0|652.4|269.8|-1920.0|22.93|236.8|87.0|10.66|7.8|5.0|2.11|3.0|0
IN|60.0|408.0|420-5645|0.0|0.0||8824.0|57.0|37.5|211.1|115.0|17.94||10320.0|||3.0|1.84|1.0|0
9||408.0|349-4396|0.0|9.0|0.0|186.1|112.0|31.64|190.2|||282.8|57.0|12.73|11.4|480.0|3.08|2.0|0
|1920.0||404-3211|0.0|0.0|0.0|160.2|117.0|27.23|267.5|67.0|22.74||68.0|10.28||5.0|2.51|2.0|0
|87.0|9.0|353-3759|0.0|0.0|0.0|151.0|83.0|25.67||116.0|18.67|||9.18|9.7|3.0|2.62|200.0|1
IN|81.0|408.0|363-5947|9.0|0.0|0.0|175.5|67.0|||85.0|21.19|||||3.0||1.0|0
CO|141.0|415.0|340-5121|0.0|9.0|0.0|126.9|98.0|21.57|180.0|62.0|1224.0|140.8|||8.0|2.0|86.4|1.0|0
