STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
||9.0|382-4657|9.0|||||45.07|||1678.0|244.7||11.01|-250.0||||0
|107.0||371-7191||9.0|1300.0|161.6|123.0|||10300.0||6360.0||||75.0|3.7|1.0|0
|137.0|415.0|358-1921||0.0|0.0||||121.2||10.3|162.6|||610.0||||0
OH|||375-9999|||0.0||7100.0|||88.0|||89.0|8.86||||2.0|0
|3750.0|9.0|330-6626|||0.0|||2834.0||122.0||186.9|121.0|||-75.0|||0
|118.0|9.0|391-8027||9.0||22340.0||||||203.9|118.0|9.18||||0.0|0
|12100.0|9.0|355-9993||1.0|24.0|||||2700.0|1481.0|212.6||9.57|187.5||2.03||0
9|7350.0||329-9001||||15700.0|||103.1|94.0|876.0|||||-150.0||-0.0|0
|11700.0|9.0|335-4719|9.0|||||3137.0|35160.0|8000.0||5395.0|2250.0||||117.5|1.0|0
9|141.0||330-8173||||12930.000000000002|84.0|||||-8159.999999999999|||11.2||151.0|-0.0|0
9||9.0|329-6603|0.0||0.0|||21.95||||-5220.0|||635.0|6.0|343.0|4.0|1
RI||415.0|344-9403||0.0|||||4085.0||||||9.1||246.0|0.0|0
|16800.0||363-1107|||0.0|12880.000000000002|||||892.0|-3527.5|||||3.02||0
||510.0|394-8006|9.0|9.0|0.0||4400.0|1331.0||7500.0|21.05||115.0||1230.0|5.0||150.0|0
|||366-9238||||120.7|||7680.0|3800.0|26.11|||9.14|655.0|600.0|88.5|4.0|0
||415.0|351-7269|||0.0|332.9||||||||||||200.0|1
|||350-8884|||-675.0||6950.0|834.75|||23.88|2232.5|75.0||13.8|||1.0|0
||9.0|386-2923|0.0|||||32.42|218.2||||||405.0|3.0|||0
9|||356-2992|0.0|9.0||9485.0|6600.0||||||-2700.0||250.0|250.0||1.0|0
|||373-2782||9.0||5610.0|||-3987.5|4400.0|13.56|||868.0|-325.0||||0
||9.0|396-5800|0.0||0.0|15510.0||26.37|5992.5|9300.0|509.25|||235.0||100.0|286.0||0
|||393-7984|||||-2225.0|530.5|169.9|||209.6|6400.0||5.7|||125.0|1
