STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|||382-4657||||||1126.75|197.4||||4550.0|||||25.0|0
OH|||371-7191|0.0||1300.0||12300.0|686.75||10300.0|||103.0||685.0||3.7||0
|-3425.0|415.0|358-1921|0.0|9.0||24340.0||1034.5|6060.0||10.3||-2600.0||12.2|500.0|3.29|0.0|0
OH||408.0|375-9999|||0.0||71.0||6190.0||||||165.0|||100.0|0
|||330-6626|1.0|||-4167.5|11300.0|-708.5|7415.000000000001|12200.0|315.25|||841.0|||||0
|||391-8027|1.0||0.0|||37.98|||468.75|-5097.5||9.18|||170.0|0.0|0
MA|6050.0|510.0|355-9993||9.0|2400.0||88.0||||29.62|||-239.25||-175.0|||0
|7350.0||329-9001|9.0||0.0||-1975.0||2577.5||438.0|||||-150.0|-48.0|0.0|0
9|||335-4719|0.0||0.0|||||80.0|||||217.49999999999997|-100.0|||0
9|14100.0|9.0|330-8173|9.0|9.0|||84.0|||111.0|||9700.0||280.0||302.0||0
9|65.0||329-6603||9.0||3227.5||548.75|228.5|||||||600.0|85.75||1
RI|3700.0|415.0|344-9403|0.0||0.0||||-4085.0||||2350.0|220.5|-227.5||||0
IA||408.0|363-1107|||0.0|128.8|96.0|21.9|2622.5|71.0|||||11.2||||0
|||394-8006||9.0|-0.0|156.6|||||||2875.0|432.5|||||0
|||366-9238||9.0|0.0||||-7680.0||1305.5|203.0||9.14||6.0|||0
|||351-7269|9.0||0.0|||||97.0|||6400.0||||||1
|2125.0||350-8884|||27.0|||33.39||9000.0|23.88|||-100.49999999999999|-345.0||-93.25|50.0|0
||9.0|386-2923|9.0|||9535.0||3242.0||5550.0||||||150.0|||0
VA|||356-2992|||825.0|||||||||||5.0||50.0|0
9||9.0|373-2782||9.0||22440.0|4500.0|38.15|159.5|2200.0||9640.0|||325.0||351.0|-25.0|0
|||396-5800|||0.0|||659.25||||||9.4|530.0||||0
||9.0|393-7984|9.0||0.0||8900.0||-4247.5|||209.6|64.0|||||125.0|1
||9.0|358-1958|0.0|9.0||||31.11||||9090.0|||237.5|-475.0|2.57||0
9|-2775.0||350-2565||9.0|0.0|||1877.0|||||||||||0
9|3300.0||343-4696|0.0||||86.0||24520.0|3600.0|||11500.0|10.67|10.3|2.0|||0
|174.0|415.0|331-3698||||6215.0||528.25|-6927.500000000001|2800.0||||11.28|||4.19||0
|57.0|408.0|357-3817|||39.0||||191.1|5600.0|1623.9999999999998|||411.00000000000006|950.0|300.0||0.0|0
|||418-6412|||0.0||||-3887.5||1322.0||3400.0|||4.0|||0
9|1000.0||353-2630||||9500.0|109.0||||1097.5||2550.0||6.3||1.7||0
9||9.0|410-7789||||||507.0|||18.28|4467.5|||||75.0||0
IL|142.0||416-8428|||||95.0|||||||563.5||6.0|383.0||0
9|||370-3359||||226.1|||||||98.0||10.3||69.5||0
|8600.0||383-1121|9.0||||121.0|3604.0|780.0|5750.0|||-1950.0|-330.0|||170.0||0
|12.0||360-1596|||||||252.4|||28020.0||||3.0|3.19||1
||9.0|395-2854|||||94.0||||||2900.0||-207.50000000000003||||0
9|||362-1407|0.0|9.0||220.0|8000.0||217.3||||1775.0||-367.5||||0
9|900.0||341-9764||1.0||7315.000000000001||||||129.3|||14.5|||0.0|0
|||353-3305|0.0||0.0|||-556.0||116.0|||||-250.0|250.0||1.0|0
AK|3400.0||402-1381||||5097.5|||187.6|||5085.0||4.58|||284.0||0
|||332-9891|9.0|0.0|0.0||||||-577.5||108.0||1110.0|900.0|3.0|-25.0|0
|2450.0|408.0|372-9976||0.0||3157.5|2550.0|21.47|4170.0|||||||2.0|63.5|3.0|0
||408.0|383-6029||9.0||||-735.75|203.9||17.33||||||||1
||510.0|353-7289|||-0.0||82.0|21.22|14110.0|98.0||15575.0||350.5||||2.0|0
||9.0|390-7274|||||77.0|14.59|||||||229.99999999999997|4.0||75.0|0
9|||352-1237|0.0||-0.0||||225.8||||86.0||87.5|3.0||1.0|0
9||9.0|353-3061||9.0||120.9||-513.75|10650.0||452.75||11600.0|7.34||125.0|||0
|-1625.0|415.0|363-5450|||||||4065.0||||||-330.0|5.0||-75.0|0
|-3550.0||364-1995|9.0|0.0|0.0||133.0|31.79|6730.0|7400.0|286.0||12700.0||7.4|||100.0|0
|119.0||398-1294|||0.0||||231.3||491.5|143.2|||||119.0||1
|2425.0||405-7146|0.0||||||21720.0|||1764.9999999999998|1975.0||275.0|||1.0|0
|-1300.0||413-4957||9.0|0.0||10800.0|||||236.8|87.0|1066.0|7.8||||0
|3000.0|9.0|420-5645|||||-1425.0|||||249.0|||6.8|-75.0|92.0|25.0|0
|-250.0||349-4396||||18610.0||31.64|4755.0|||||1273.0|-285.0|||-50.0|0
9||415.0|404-3211|9.0|9.0|0.0|160.2|||13375.0|3350.0||11425.0|||9.3||2.51|2.0|0
|||353-3759|0.0||0.0|151.0|||10985.0||18.67|||9.18|9.7||2.62||1
IN|81.0||363-5947||||||||85.0|-529.75||98.0||||||0
||415.0|340-5121||0.0|||98.0|539.25|||||128.0|6.34|8.0||216.0||0
CO|||370-7574||1.0|||3225.0||||||77.0||||1.57||1
|68.0|9.0|403-9733|9.0|||||||4100.0||3245.0000000000005|5150.0|5.84|12.1|300.0||-75.0|0
|||355-7251|9.0||0.0|229.3|103.0||177.4||754.0|18930.0||852.0||8.0|-81.0||0
9|||359-5893|9.0|||19210.0||||9400.0|14.44|||||||1.0|0
|||405-3371|0.0|||||-1141.5|4455.0|7100.0||166.3|106.0||||-78.25|50.0|0
9|74.0|9.0|344-5117||||-4842.5|91.0||||523.0|3450.0|4600.0|||150.0|-98.5|2.0|0
9||9.0|332-8160|9.0|||||||64.0||||||-75.0|340.0||0
|950.0|408.0|359-4081||9.0|||2450.0|22.3||97.0||7950.0|||819.9999999999999|||200.0|0
|4000.0||352-8305|||||7400.0||||14.41|214.1|5100.0|||5.0|||0
|||329-9847|9.0|9.0|||||212.8|5200.0|||||-232.50000000000003|400.0||0.0|0
|5650.0||365-9011|1.0|9.0|0.0|125.2|-2325.0|21.28||||-3232.5000000000005|||||||0
|126.0||338-9472|0.0||0.0||1750.0||-5422.5|||15350.0|6000.0||7.8|-25.0||-25.0|0
|||374-8042||||178.9|||4227.5||14.37||100.0|||300.0||-100.0|1
|||359-1231|9.0||0.0|||-1027.75||83.0||295.3|104.0|13.29|||||0
9|-4050.0|510.0|413-7170|0.0|1.0||22490.0||38.23|188.2|84.0||254.6|||302.5||3.27||0
9||510.0|415-2935|9.0||0.0||||-3722.5|||||194.0|200.0|||75.0|0
9|9000.0||399-4246||||||1729.0||117.0|||-2625.0|6.86|||-49.25||0
||9.0|362-5889|9.0|0.0|0.0|11790.0||4009.0000000000005|15719.999999999998||-334.0|4705.0|99.0||||3.24|-0.0|0
||9.0|350-8921|9.0|0.0|||4500.0|667.75||-1800.0|949.0|181.4||||-50.0|||0
||9.0|374-5353|9.0|0.0|0.0|15015.0||-1276.25||10000.0|-384.75||1825.0||1170.0|-100.0||0.0|1
|||360-1171|||||117.0|||||8650.0||||7.0|55.25||1
MN|||355-8887|9.0|9.0|0.0||||||||||8.2|3.0|||0
||408.0|333-1967||||4255.0||2893.0||||||||2.0||-25.0|0
||9.0|354-4577|0.0|9.0|||99.0||||25.8|||10.08||||1.0|0
OR|||331-7425|||0.0|215.4||36.62|204.8|79.0||||313.25||||3.0|0
|||419-2637||9.0|625.0||||||||||||||0
|70.0||411-1530|9.0|9.0|||2525.0|42.42|||||68.0||9.8|-100.0|||0
|||395-3026|9.0||0.0|210.6||894.9999999999999|249.2|85.0|1059.0|||8.61|620.0||-83.75||1
9||9.0|388-6441|9.0|||||30.48||86.0||8075.0|-1950.0|14.54||-175.0|||0
|||402-1251|0.0||-0.0||105.0|1342.0|||13.18|||8.53|-200.0||2.16|4.0|1
WV|||412-9997|||-0.0||118.0|||76.0|||-2450.0||||||0
9|||346-7302|9.0|||-3852.5|10400.0|||||202.1|2850.0|||225.0|||0
NJ||9.0|358-9095|0.0||-0.0||6250.0|-1011.0||-2325.0|||3400.0||-347.5||||1
DC|82.0||400-9770|||||||19490.0|105.0|16.57||2350.0||-277.5||||0
|155.0||334-1275|0.0||||100.0|864.5|||16.23|||8.82||4.0||0.0|1
9|||340-4953|9.0||||100.0||||14.71|6330.0|3100.0|569.5|7.9||||0
|7800.0|415.0|400-9510|9.0||0.0||||4460.0|||||594.0|||||0
9||9.0|387-6103||9.0|-0.0||1775.0|30.45||8100.0|16.2|||-143.75||7.0|286.0|300.0|0
|||366-4467|9.0||0.0|||||113.0||||7.34|||||0
|7300.0|9.0|370-3450||9.0|||11000.0|||||174.1|||||||0
|4950.0|415.0|327-3954|||0.0|||33.69|||||11300.0||217.49999999999997|150.0||4.0|0
|120.0|408.0|355-6291|0.0|||||36.06|209.4||||96.0||5.3||1.43||1
|77.0||362-9748|||0.0||72.0|4281.0|||||109.0|||350.0||100.0|1
|4900.0|9.0|379-6506|0.0|9.0||16119.999999999998|11400.0|||||||360.5|220.00000000000003|8.0|||0
|||347-7741|9.0||||||18900.0||16.07|129.1|102.0|290.5|||98.5|0.0|0
9|135.0||354-3783|||0.0|151.7||25.79|11900.0|105.0|10.12|4500.0|100.0||525.0|-150.0|284.0||0
|||401-7594|0.0|||3375.0|99.0|2295.0|183.6|10600.0|780.5||-2550.0||312.5|||1.0|0
||9.0|397-4976|9.0|9.0|0.0||||173.7||||7500.0||||152.5||0
|-2375.0|408.0|334-2577|9.0|||5952.5|3250.0|||4900.0|15.91|4750.0|2875.0||11.8||79.75||0
MI|36.0||400-3637|9.0|9.0|1450.0||102.0||||-429.75000000000006||5650.0|||||200.0|0
|||383-4361||9.0|21.0|117.9||||||||||-75.0|132.5|-25.0|0
|||371-4306||1.0||3715.0|4550.0|||||219.4|||||136.5||0
|157.0|408.0|403-4298||||5745.0|2250.0|-976.75|||314.25|241.4||||-175.0|129.5||0
|120.0||409-3786||9.0||||28.05||-2075.0|26.96||2150.0|536.0||-200.0|2.24||0
9|||337-4697||||||3145.0||94.0|-474.5||4550.0||630.0|||2.0|0
|||383-1509||||4025.0|117.0||190.9||405.75|||10.25|302.5||81.75||0
9|||359-9794||0.0|0.0|||||9000.0|||2850.0||||||0
AZ|6300.0||407-7035|9.0||||125.0||||14.42|21140.0|||9.4||127.0||0
9|||363-1069||9.0||||1673.0|||||12600.0|6.22|20.0||-135.0|0.0|1
NJ|||391-4652||0.0|0.0|||2764.0||2725.0|-323.75||122.0||355.0|-75.0||50.0|0
NV||415.0|355-6837|0.0|9.0||||||||||765.0|235.0|100.0||1.0|1
||9.0|409-1244|0.0||36.0||||157.5||13.39|177.6|||500.0||||0
9|4850.0||328-3266|9.0|0.0|0.0|239.8||-1019.2500000000001|214.8|11100.0|-456.50000000000006|||161.25||||2.0|0
9|||352-7072|||0.0|21020.0||||1925.0||||225.0||700.0|3.54||0
||9.0|370-7550|0.0||||||||-301.25||123.0|||3.0|97.0|0.0|0
|121.0||369-5526|9.0||0.0||2575.0|-810.5|9175.0|-2925.0||11040.0|||9.8|4.0|||0
9|19300.0|9.0|329-4391|9.0|9.0|||124.0||||||||580.0||3.13|-25.0|0
9||9.0|408-4195|||||||110.2|98.0|||117.0|10.23|||-62.0|2.0|0
|||354-4445||||201.4|||5735.0|||||11.36||3.0|||0
|||335-4858||||||601.0|||669.5||||9.1|150.0|123.0|200.0|1
|6100.0||414-8718|||27.0|||||5150.0|1246.0||||||1.73|4.0|1
TX|2300.0|9.0|409-5939|||0.0|9170.0|||||||||-229.99999999999997|4.0|2.48||0
|||331-4902||1.0||10710.0|11500.0||4042.4999999999995||||||475.0|-100.0|||0
|9000.0|9.0|353-6870||0.0|0.0||||-5442.5|114.0||3672.5||6.61||2.0||75.0|0
CA||408.0|355-2909|0.0|9.0||166.3||||-2150.0||||||-125.0|||0
|||390-6101|||0.0|231.0|||||19.58||120.0||||2.57||0
|8200.0|9.0|400-3446||||20030.0|96.0|34.05||102.0|||-1500.0||7.1||48.0||0
|||411-5859|||-0.0|197.0||837.25|202.6|||10320.0||232.24999999999997|||||0
|||387-2919|9.0||0.0|129.9|112.0|2208.0||2075.0||6180.0|||||151.0||0
|1875.0||374-8525|||||9700.0|||10600.0||237.5||||||500.0|0
FL|91.0||379-5592|9.0||||||||17.86|19560.0||880.0000000000001||3.0|81.0|300.0|0
AK|127.0||345-8237|9.0|1.0|36.0|||||7600.0||13165.0|||1120.0||||0
|||422-6690|9.0|||||34.85|-3800.0|||3965.0|1475.0|178.5|||||0
||9.0|346-2359|0.0||0.0|-3712.5||25.25||||||217.75000000000003|12.4|||25.0|0
|||374-3534|0.0|1.0||-5007.5|||||18.73||2900.0|1142.0|262.5|||0.0|0
