STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|||382-4657||1.0|25.0|265.1|110.0|45.07|||16.78|9788.0|91.0|-220.2|10.0|3.0|2.7||0
OH||415.0|371-7191|0.0||26.0|161.6|-2460.0|27.47|195.5|103.0|16.62|254.4|4120.0|||-60.0|3.7|1.0|0
NJ|5480.0|9.0|358-1921|||0.0|-4868.0|114.0|41.38|-2424.0||206.0||104.0||12.2|5.0|65.8|0.0|0
OH|||375-9999|1.0|9.0|0.0|-5988.0|71.0|50.9||88.0||196.9||||7.0||2.0|0
OK|75.0|415.0|330-6626|1.0||0.0|166.7|113.0|566.8|148.3||12.61|3738.0|121.0|||3.0|||0
AL|118.0|510.0|391-8027|1.0|0.0||17872.0|7840.0|1519.1999999999998||8080.0|-375.0||118.0|||6.0|||0
MA|4840.0||355-9993|9.0|1.0|||88.0|37.09|348.5|108.0|29.62|212.6|118.0|9.57|-150.0||162.39999999999998||0
MO||415.0|329-9001|9.0|0.0||157.0|79.0||||175.2||96.0|9.53|568.0|120.0|76.8|0.0|0
9|117.0|9.0|335-4719|9.0|0.0|0.0|184.5|97.0|31.37|||2391.2|215.8|90.0|9.71|8.7||2.35||0
|141.0|9.0|330-8173|1.0|1.0||-5172.0|84.0|43.96|222.0|111.0|18.87|326.4|97.0|14.69|11.2|5.0||0.0|0
IN|65.0||329-6603||0.0|0.0||137.0||228.5|||8352.0||376.0|508.0|6.0|137.20000000000002||1
9|74.0|9.0|344-9403|0.0||0.0|||31.91||||196.0|7520.0|8.82|||||0
IA|3360.0|408.0|363-1107|0.0||0.0|10304.0|1920.0||104.9|||141.1|128.0||11.2|2.0|3.02|20.0|0
9|95.0|510.0|394-8006|9.0|0.0|0.0|156.6|-1760.0|1064.8|247.6|6000.0|21.05|7692.0||-173.0|492.0|5.0|||0
9|||366-9238|||||1400.0|||76.0||4060.0|99.0||13.1|240.0|3.54|-80.0|0
NY|||351-7269|0.0|0.0|0.0|332.9|67.0|56.59||97.0|27.01|160.6|128.0|7.23|5.4|-180.0|1.46||1
|85.0||350-8884|||-540.0|196.4|139.0|-667.8|280.9||23.88|89.3||||320.0|3.73||0
VT|93.0||386-2923|0.0||0.0|3814.0||32.42|218.2||-371.0|129.6|121.0||8.1|3.0|175.2|3.0|0
VA|||356-2992|0.0|1.0|33.0|189.7|66.0||17024.0|65.0|||108.0|7.46|10.0||2.7|1.0|0
TX|-1460.0|415.0|373-2782||0.0||4488.0|90.0|763.0|159.5|88.0|13.56|||694.4|13.0|160.0||1.0|0
FL||415.0|396-5800|0.0|9.0|||117.0|26.37||93.0|20.37||133.0||10.6|4.0|||0
|77.0||393-7984|0.0|0.0|0.0|62.4|||-3398.0|121.0|14.44|209.6|||456.0|6.0|1.54||1
AZ|||358-1958|0.0|0.0|0.0||112.0||2916.0|99.0|6.2||78.0|8.18|380.0|19.0|2.57|0.0|0
SC|111.0||350-2565||9.0|||||10984.0|102.0||189.6|105.0|8.53||120.0|2.08||0
9||510.0|343-4696||0.0|0.0||86.0||245.2|2880.0|20.84||115.0|10.67||2.0|222.39999999999998|0.0|0
NE|174.0|415.0|331-3698|0.0|0.0|0.0|124.3|76.0||277.1||23.55|-5014.0||11.28|15.5|5.0|4.19||0
|57.0|408.0|357-3817|0.0||39.0|213.0|||191.1|112.0|324.79999999999995|182.7||164.4|9.5|120.0|102.8|0.0|0
9|54.0|9.0|418-6412|0.0|0.0|0.0||73.0|||100.0|||68.0|4.59|14.7|4.0|3.97|3.0|0
MO|20.0|415.0|353-2630|0.0||||109.0|||84.0|21.95|181.5||8.17|6.3|6.0|1.7|0.0|0
|49.0|510.0|410-7789|||0.0|119.3|117.0||-4302.0|109.0|-365.6|||||1.0|-60.0|1.0|0
IL|11360.0|415.0|416-8428|0.0||0.0||95.0||10936.0|63.0||-5010.0|-2960.0|-225.39999999999998|284.0||3.83||0
|75.0||370-3359|0.0|9.0|0.0|||||-2140.0|17.13|246.2|98.0|221.6|10.3|5.0||1.0|0
LA|172.0|9.0|383-1121|0.0||0.0|212.0|121.0|36.04|1248.0|115.0|2.65|11732.0||13.2|12.6|||3.0|0
AZ|960.0|408.0|360-1596|0.0||0.0||118.0|42.43|||21.45|280.2|90.0|12.61|11.8|3.0|||1
OK||408.0|395-2854|0.0|||176.8|94.0||195.0|75.0||213.5||384.4|8.3|80.0|2.24|0.0|0
GA|-1440.0||362-1407|0.0|9.0|37.0||3200.0|||102.0|-369.4|152.8|71.0||14.7|120.0||3.0|0
||408.0|341-9764|0.0|1.0|30.0|146.3|128.0|24.87|3250.0||13.81|129.3||5.82|14.5||3.92|0.0|0
MA|78.0|415.0|353-3305|0.0|0.0||130.8||22.24|||19.01|18224.0|108.0|10.25|||54.0|1.0|0
AK|10880.0|415.0|402-1381||9.0||203.9|106.0||187.6|99.0|15.95||107.0|4.58|10.5|6.0||3.0|0
||408.0|332-9891|0.0|0.0|||94.0|477.40000000000003|271.8|92.0|23.1|||169.4|11.1||60.0|80.0|0
9|3920.0|408.0|372-9976||0.0|||102.0|21.47||85.0|14.18|-3756.0|135.0|8.45|9.4|2.0|2.54|3.0|0
9||408.0|383-6029||1.0|41.0||85.0|29.43|203.9||||||14.6|15.0||0.0|1
9|34.0||353-7289|0.0|9.0||124.8|||-5644.0|98.0|959.5999999999999|311.5||14.02|10.0|80.0||40.0|0
