STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|5120.0|415.0|382-4657|0.0|1.0|25.0|265.1|110.0|45.07|197.4|99.0|16.78||91.0|11.01|400.0|3.0|-54.0|1.0|0
OH||415.0|371-7191|0.0|1.0|26.0|161.6|123.0|27.47|195.5|103.0|16.62|254.4|103.0|11.45|13.7|3.0|3.7|1.0|0
NJ|137.0|9.0|358-1921||0.0|0.0|243.4||41.38|121.2|4400.0|10.3|162.6||7.32|12.2|5.0|3.29|0.0|0
|84.0|408.0|375-9999|9.0|0.0||299.4|71.0||61.9|88.0|5.26|-3938.0||8.86|6.6|7.0|1.78|40.0|0
OK|75.0|9.0|330-6626|1.0|0.0|0.0|166.7|113.0|28.34||122.0|12.61|186.9|121.0|8.41||3.0||3.0|0
AL||510.0|391-8027|1.0|0.0|0.0|223.4|98.0|-759.5999999999999|220.6||18.75||118.0||6.3|480.0|1.7|0.0|0
9||510.0|355-9993||1.0|24.0|4364.0|88.0|||108.0|29.62|212.6|118.0|9.57|7.5|560.0|2.03|3.0|0
|147.0|415.0|329-9001|1.0|9.0|0.0|157.0||26.69|103.1|94.0||211.8|96.0|9.53|7.1|6.0|38.4|0.0|0
LA|117.0|408.0|335-4719|0.0||0.0|184.5|97.0||351.6|-1600.0||215.8|90.0|9.71|8.7|4.0|2.35|1.0|0
WV|2820.0||330-8173|1.0|1.0|37.0|258.6||43.96|-4440.0|111.0||326.4|97.0|14.69|11.2|5.0|3.02|0.0|0
IN|5200.0||329-6603|9.0|0.0|0.0|129.1|137.0|21.95|228.5|83.0|19.42|208.8|111.0||254.0||3.43||1
