STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|||382-4657||9.0||265.1||||||-6117.5|9100.0||10.0|3.0|270.0|1.0|0
OH||415.0|371-7191|9.0|9.0||161.6|123.0|27.47|195.5||16.62|254.4|5150.0||-342.5||||0
NJ|||358-1921||||243.4|11400.0|41.38|121.2|||162.6|104.0|||-125.0|3.29||0
OH|||375-9999|9.0||0.0|299.4|-1775.0|50.9||88.0|526.0|196.9||||||2.0|0
|3750.0||330-6626|1.0|0.0|||113.0|28.34|148.3||-315.25|186.9||8.41||3.0|||0
AL|118.0||391-8027|||||4900.0|37.98|5515.0|10100.0|18.75|20390.0|5900.0|9.18|6.3|-150.0|1.7||0
9||510.0|355-9993||9.0|||88.0|37.09|348.5|10800.0|740.5|212.6||957.0|||2.03|-75.0|0
|147.0|415.0|329-9001||9.0||157.0|79.0|26.69|103.1|4700.0||-5295.0|96.0||-177.5|6.0||0.0|0
||408.0|335-4719|0.0||0.0|18450.0|-2425.0||17580.0||29.89|||9.71|8.7|100.0|2.35|1.0|0
|7050.0||330-8173|9.0|1.0|37.0|258.6|84.0|43.96|-5550.0||||4850.0|14.69|560.0|250.0||0.0|0
IN|-1625.0|9.0|329-6603|9.0|0.0||129.1|137.0||11425.0|||-5220.0||||6.0|3.43|4.0|1
||9.0|344-9403|9.0||0.0|4692.5|127.0|797.75|163.4|148.0||196.0|94.0|8.82||-125.0|2.46|0.0|0
9|4200.0|408.0|363-1107|||0.0|128.8|96.0|||71.0|-223.0||12800.0|158.75|11.2|2.0|302.0||0
|9500.0|9.0|394-8006|0.0|0.0|0.0||-2200.0|26.62|247.6|75.0|21.05|192.3||-216.25|12.3||3.32||0
IA|3100.0||366-9238|9.0|9.0|0.0||70.0|2052.0|307.2|76.0|652.75|||9.14|655.0||||0
9|161.0|415.0|351-7269|0.0|0.0||332.9||2829.5|||-675.25||128.0|723.0|-135.0||146.0|4.0|1
|85.0||350-8884|0.0|1.0||||1669.5|28089.999999999996||597.0|-2232.5||4.02||4.0|3.73|1.0|0
9|93.0||386-2923|9.0|0.0|0.0|190.7|114.0|810.5||111.0||3240.0|121.0|5.83|||2.19|300.0|0
9||510.0|356-2992|0.0|9.0|1650.0||66.0|32.25|212.8|-1625.0|-452.25|16570.0|5400.0|7.46|10.0|-125.0|2.7|100.0|0
TX|1825.0|415.0|373-2782||9.0|0.0||90.0|1907.5|159.5|-2200.0|1356.0||7400.0|217.0|13.0|2.0|87.75||0
FL||415.0|396-5800|0.0|9.0|||||239.7|9300.0||||9.4||100.0||0.0|0
|1925.0|408.0|393-7984|9.0|0.0|0.0|62.4|2225.0|10.61|169.9|121.0|14.44|5240.0||9.43|5.7|6.0|||1
||415.0|358-1958|0.0||0.0|-4575.0||31.11|-1822.5000000000002|99.0|155.0|181.8|78.0|818.0|||-64.25|0.0|0
|||350-2565|9.0|9.0|0.0||||137.3||583.5||105.0|8.53|7.7|||2.0|0
|132.0|510.0|343-4696||0.0|0.0||86.0|13.79|245.2|72.0|521.0|237.0||-266.75|257.5|200.0|||0
9||415.0|331-3698||9.0||124.3|-1900.0|1056.5||||250.7||1128.0|15.5|5.0||300.0|0
9|57.0||357-3817|9.0|9.0|39.0|213.0|115.0||191.1|5600.0|16.24|||||75.0|||0
9|||418-6412|0.0|||||||2500.0||2552.5|68.0|4.59||4.0||75.0|0
||415.0|353-2630|0.0|0.0|0.0||109.0||||-548.75|9075.0|5100.0|817.0|6.3||42.5||0
HI||510.0|410-7789|9.0|0.0||119.3||||109.0|18.28|17870.0||8.04|1110.0|1.0|||0
9|7100.0|415.0|416-8428|9.0|0.0|0.0|2120.0||14.42||63.0||6262.5||11.27||6.0||2.0|0
